ranking,titulo,anio,puntaje,genero,votos,direccion,duracion,ganancias
2913,The Ice Storm,1997,7.5,Drama,49980,Ang Lee,112,7.84
3016,A River Runs Through It,1992,7.3,Drama,47610,Robert Redford,123,43.44
3059,Crash,1996,6.4,Drama,46736,David Cronenberg,100,2.04
3132,The Last Temptation of Christ,1988,7.6,Drama,45059,Martin Scorsese,164,7.63
3161,Rabbit Hole,2010,7,Drama,44587,John Cameron Mitchell,91,2.23
3173,The Beaver,2011,6.7,Drama,44296,Jodie Foster,91,0.97
3199,Ida,2013,7.4,Drama,43725,Pawel Pawlikowski,82,3.83
3214,"Sex, Lies, and Videotape",1989,7.2,Drama,43383,Steven Soderbergh,100,24.74
3237,My Own Private Idaho,1991,7.1,Drama,43036,Gus Van Sant,104,6.4
3305,Naked Lunch,1991,7.1,Drama,41548,David Cronenberg,115,2.54
3321,Life as a House,2001,7.5,Drama,41298,Irwin Winkler,125,15.65
3352,Tôkyô monogatari,1953,8.2,Drama,40868,Yasujirô Ozu,136,NA
3365,Ordinary People,1980,7.8,Drama,40739,Robert Redford,124,54.8
3366,Mommy,2014,8.1,Drama,40739,Xavier Dolan,139,3.49
3372,"I, Daniel Blake",2016,7.9,Drama,40561,Ken Loach,100,0.26
3381,Far from Heaven,2002,7.4,Drama,40435,Todd Haynes,107,15.85
3396,The Company Men,2010,6.8,Drama,40223,John Wells,104,4.44
3407,"Deux jours, une nuit",2014,7.4,Drama,40106,Jean-Pierre Dardenne,95,1.44
3424,The Visitor,2007,7.7,Drama,39754,Tom McCarthy,104,9.42
3467,Cat on a Hot Tin Roof,1958,8.1,Drama,39018,Richard Brooks,108,17.57
3495,In America,2002,7.8,Drama,38593,Jim Sheridan,105,15.54
3510,Throne of Blood,1957,8.1,Drama,38390,Akira Kurosawa,110,NA
3556,Udaan,2010,8.2,Drama,37669,Vikramaditya Motwane,134,0.01
3585,God's Not Dead,2014,4.8,Drama,37124,Harold Cronk,113,60.76
3591,The Nights of Cabiria,1957,8.1,Drama,37080,Federico Fellini,110,0.75
3625,The Last Picture Show,1971,8.1,Drama,36414,Peter Bogdanovich,118,29.13
3636,The Joneses,2009,6.5,Drama,36290,Derrick Borte,96,1.47
3637,North Country,2005,7.3,Drama,36268,Niki Caro,126,18.32
3648,Of Mice and Men,1992,7.5,Drama,36136,Gary Sinise,115,5.1
3704,Boy A,2007,7.6,Drama,35302,John Crowley,102,0.11
3711,East of Eden,1955,8,Drama,35258,Elia Kazan,118,NA
3767,Belle de Jour,1967,7.8,Drama,34461,Luis Buñuel,100,0.03
3782,Kis Uykusu,2014,8.2,Drama,34158,Nuri Bilge Ceylan,196,NA
3805,Promised Land,2012,6.6,Drama,33818,Gus Van Sant,106,7.6
3806,The Believer,2001,7.2,Drama,33817,Henry Bean,98,0.41
3839,Hamlet,1996,7.8,Drama,33464,Kenneth Branagh,242,4.41
3875,Evil,2003,7.8,Drama,33016,Mikael Håfström,113,0.02
3894,Secrets & Lies,1996,8,Drama,32713,Mike Leigh,136,13.42
3943,Cake,2014,6.4,Drama,32269,Daniel Barnz,102,1.87
3957,High-Rise,2015,5.6,Drama,32016,Ben Wheatley,119,0.34
3976,The Class,2008,7.5,Drama,31806,Laurent Cantet,128,3.77
3980,Central Station,1998,8,Drama,31735,Walter Salles,113,5.6
4017,The Verdict,1982,7.8,Drama,31123,Sidney Lumet,129,54
4060,The Shipping News,2001,6.8,Drama,30478,Lasse Hallström,111,11.43
4097,Black,2005,8.2,Drama,29985,Sanjay Leela Bhansali,122,0.73
